NAME,Site_Name,distance_to_site_miles,ZIP,STATE,CITY,CNTY,LAT,LON
Lynnewood El Sch,Havertown PCP,0.19480431503492046,19083,PA,Havertown,42045,39.982692,-75.322313
Elwood Haynes Elementary School,Kokomo Contaminated Ground Water Plume,0.1952543463685767,46901,IN,Kokomo,18067,40.4777,-86.1112
LOGAN-ROGERSVILLE PRIMARY,Compass Plaza Well TCE,0.20362225626992542,65742,MO,ROGERSVILLE,29077,37.109788,-93.07958
Roosevelt School #7,Garfield Ground Water Contamination,0.20438176647128628,7026,NJ,GARFIELD,34003,40.873683,-74.103348
West Essex High School,Caldwell Trucking Co.,0.20439892834250223,7006,NJ,NORTH CALDWELL,34013,40.873815,-74.269493
LANDING SCHOOL,"Mattiace Petrochemical Co., Inc.",0.2066060685744312,11542,NY,GLEN COVE,36059,40.863433,-73.645038
Woodcrest Elementary,Orange County North Basin,0.20758757657744026,92832,CA,Fullerton,6059,33.8577,-117.9316
Iola Elementary School,Former United Zinc & Associated Smelters,0.21165464337047757,66749,KS,Iola,20001,37.924433,-95.388661
HIGHLANDS ELEMENTARY SCHOOL,General Dynamics Longwood,0.21463577318744725,32708,FL,WINTER SPRINGS,12117,28.716543,-81.317692
Joseph Gomez Elementary School,Tutu Wellfield,0.21588181824186223,802,VI,Saint Thomas,78030,18.342789,-64.887972
CORTLAND JUNIOR HIGH SCHOOL,Rosen Brothers Scrap Yard/Dump,0.21939327566660333,13045,NY,CORTLAND,36023,42.588555,-76.174555
CORTLAND HIGH SCHOOL,Rosen Brothers Scrap Yard/Dump,0.21939327566660333,13045,NY,CORTLAND,36023,42.588555,-76.174555
Orange Early Childhood Center,U.S. Radium Corp.,0.21987859627686004,7050,NJ,Orange,34013,40.7783,-74.2295
Southwest Tech,"Jard Company, Inc.",0.22088695015259333,5201,VT,Bennington,50003,42.886582,-73.192165
Catawba Heights Elementary,Jadco-Hughes Facility,0.22253400865890174,28012,NC,Belmont,37071,35.2745,-81.0375
Lincoln Memorial Elem,Caney Residential Yards,0.22334765271107812,67333,KS,Caney,20125,37.0154,-95.932
Blades Elementary School,Blades Groundwater,0.2253543818912723,19973,DE,Blades,10005,38.630991,-75.606348
Bountiful School,Five Points PCE Plume,0.22780687810777775,84010,UT,BOUNTIFUL,49011,40.873535,-111.882873
Roberto Clemente International Dual Language School,Scovill Industrial Landfill,0.22852509248306072,6705,CT,Waterbury,9140,41.547133,-73.010039
Kiser Elementary School,Behr Dayton Thermal System VOC Plume,0.23032894268574672,45404,OH,Dayton,39113,39.7834,-84.1753
Beverly City School District,Cosden Chemical Coatings Corp.,0.2356563416577301,8010,NJ,BEVERLY,34005,40.0607,-74.9229
PS 32 SAMUEL MILLS SPROLE,Gowanus Canal,0.23619204791752108,11231,NY,BROOKLYN,36047,40.6803,-73.9915
Mt. Anthony Senior Union High School,"Jard Company, Inc.",0.23679852688373235,5201,VT,Bennington,50003,42.885808,-73.191203
WASHINGTON AVE ELEMENTARY,Lea and West Second Street,0.238800374620943,88201,NM,ROSWELL,35005,33.397033,-104.532085
GEORGE PEABODY EL,RSR Corp.,0.2404402704741197,75212,TX,DALLAS,48113,32.777978,-96.868534
FRANKLIN EARLY CHILDHOOD CENTER,Peninsula Boulevard Ground Water Plume,0.24529989695998164,11557,NY,HEWLETT,36059,40.6393,-73.7069
Walpole High,Blackburn and Union Privileges,0.2458116605512315,2081,MA,Walpole,25021,42.136641,-71.247798
NORPHLET MIDDLE SCHOOL,MacMillan Ring Free Oil,0.24724946156061495,71759,AR,NORPHLET,5139,33.310348,-92.66045
Orange Early Childhood Center,Orange Valley Regional Ground Water Contamination,0.24785941054426708,7050,NJ,Orange,34013,40.7783,-74.2295
LAKE ACADEMY SECURE,Peak Oil Co./Bay Drum Co.,0.2499251395960695,33619,FL,TAMPA,12057,27.967552,-82.342244
LAKE ACADEMY,Peak Oil Co./Bay Drum Co.,0.2499251395960695,33619,FL,TAMPA,12057,27.967552,-82.342244
Westmoreland Elementary School,Fair Lawn Well Field,0.2511570852035607,7410,NJ,FAIR LAWN,34003,40.9408,-74.1339
Keystone El Sch,Croydon TCE,0.2515448151139013,19021,PA,Croydon,42017,40.08606,-74.893751
Forest Elementary School,East Troy Contaminated Aquifer,0.25202217889503703,45373,OH,Troy,39109,40.035946,-84.199954
Community Middle School,Brook Industrial Park,0.2530474483087639,8805,NJ,Bound Brook,34035,40.562634,-74.532583
Windemere Park Charter Academy,Adam's Plating,0.25335147080668524,48917,MI,LANSING,26065,42.7418,-84.5916
