NAME,Site_Name,distance_to_site_miles
THENA CROWDER EARLY CHILDHOOD DIAGNOSTIC SPECIAL EDUCATION,Continental Cleaners,0.2563962590458752
Clark Elementary School,Highway 3 PCE,0.2570606371466467
JESUS T. PINERO CIDRA,Cidra Ground Water Contamination,0.25747663641635454
Jefferson Elementary,"N.W. Mauthe Co., Inc.",0.2578255133069876
Stebbins High School,Valley Pike VOCs,0.258053280582182
Darlene C. McKnight Elementary,Historic Potteries,0.2581723615796893
John A. Forrest Elementary School,Fair Lawn Well Field,0.259162603090238
HILLSBOROUGH GIRLS ACADEMY,Reeves Southeastern Galvanizing Corp.,0.26389465430239023
Donnelsville Elementary School,Donnelsville Contaminated Aquifer,0.26460893941363095
METRO DEAF SCHOOL,Koppers Coke,0.265684276039798
LUIS MUNOZ IGLESIAS,Cidra Ground Water Contamination,0.2668314859759898
Utah Connections Academy,Wasatch Chemical Co. (Lot 6),0.26695847486884
OMAHA HIGH SCHOOL,"Arkwood, Inc.",0.26707040832008433
OMAHA ELEMENTARY SCHOOL,"Arkwood, Inc.",0.26707040832008433
Mad River Middle School,Valley Pike VOCs,0.2679961739982652
TAGOS Leadership Acad,Janesville Old Landfill,0.26889840444767643
PEDRO NELSON COLBERG,Cabo Rojo Ground Water Contamination,0.2702163058221206
Lincoln International High School,South Minneapolis Residential Soil Contamination,0.27072084656064804
Sartori Elementary School,Pacific Car & Foundry Co.,0.27310151836849683
Neale Elementary School,Vienna Tetrachloroethene,0.273740462308717
York Avenue El Sch,North Penn - Area 6,0.27378223318263833
CENTRAL ELEMENTARY SCHOOL,PCE - Carriage Cleaners,0.27393574097083523
Henry P. Becton Regional High School,Universal Oil Products (Chemical Division),0.27425191426810847
TAMPA RESIDENTIAL FACILITY,Peak Oil Co./Bay Drum Co.,0.27463223153847244
GRANTS HIGH,Grants Chlorinated Solvents Plume,0.2759115920484088
N B Mills Elementary,"FCX, Inc. (Statesville Plant)",0.27918567385081106
VIENNA ELEM.,Vienna Wells,0.2793063200087872
VIENNA HIGH,Vienna Wells,0.2793063200087872
VIENNA MIDDLE,Vienna Wells,0.2793063200087872
Park Avenue Elementary School,Orange Valley Regional Ground Water Contamination,0.27947000274136435
WILFREDO LAFUENTE ORTIZ,Maunabo Area Ground Water Contamination,0.2814348136324825
Henry (Patrick) Elementary,Orange County North Basin,0.2817438395478437
LANDING SCHOOL,Li Tungsten Corp.,0.28187408124254704
H. S. Chase School,Scovill Industrial Landfill,0.2833096027820082
Sierra Vista Elementary,"Brown & Bryant, Inc. (Arvin Plant)",0.2834816035966216
Murray High,Murray Smelter,0.28702977492553955
Souderton CS Collaborative,North Penn - Area 1,0.28735125398665584
John D. Bud Hawk Elementary at Jackson Park,Jackson Park Housing Complex (USNAVY),0.28794655114893564
Fox River Academy,"N.W. Mauthe Co., Inc.",0.28889526096805457
MTS HIGH SCHOOL,South Minneapolis Residential Soil Contamination,0.2899453604525506
COLUMBUS RESIDENTIAL JUVENILE FACILITY,Peak Oil Co./Bay Drum Co.,0.2904324414798126
MESA VIEW ELEMENTARY,Grants Chlorinated Solvents Plume,0.29047463859337275
Minnesota Connections Academy 7-12,Koppers Coke,0.2919699046668678
Minnesota Connections Academy K-6,Koppers Coke,0.2919699046668678
ANTHONY ALFANO ELEMENTARY SCHOOL,"MacKenzie Chemical Works, Inc.",0.2931843597518233
COBBLE HILL SCHOOL OF AMERICAN STUDIES,Gowanus Canal,0.293287962053834
Broadwater School,Billings PCE,0.29335679574733076
ISABEL FLORES,Juncos Landfill,0.2940292877161041
Gibbsboro Elementary School,United States Avenue Burn,0.2945671527422986
MCCULLOCH ELEMENTARY,"Solid State Circuits, Inc.",0.29499153364464414
ALFONSO CASTA MARTINEZ,Maunabo Area Ground Water Contamination,0.2958427120348343
NORCREST ELEMENTARY SCHOOL,Flash Cleaners,0.2959290849384689
HERMOSA HEIGHTS ELEMENTARY,Griggs & Walnut Ground Water Plume,0.2963966762388695
Pontiac Elementary,Townsend Saw Chain Co.,0.2964106619917584
Excel Academy Rhode Island,Centredale Manor Restoration Project,0.2975208824782249
Lafayette Elementary School,Brook Industrial Park,0.2984926239280018
Abraham Lincoln School #6,Garfield Ground Water Contamination,0.2992264710770852
